3 17 4 2 3 4 4 4 9 163
3 23 5 3 3 -999 -999 3 9 163
4 3 5 5 2 4 4 3 14 1272
4 6 3 2 3 3 3 4 13 1272
4 7 3 3 2 4 -999 5 8 1272
4 9 5 3 3 4 4 3 14 1272
4 11 5 4 3 4 3 3 14 1272
4 18 5 4 4 4 4 3 14 1272
4 24 5 5 3 1 1 5 14 1272
4 25 5 5 5 5 -999 2 13 1272
4 27 5 5 4 5 5 5 14 1272
5 7 4 4 3 -999 -999 2 14 2383
5 10 4 3 3 3 3 3 14 2383
5 11 4 2 1 3 2 4 13 2383
5 12 4 4 3 4 4 4 12 2383
5 14 5 2 4 4 3 3 14 2383
5 15 4 4 3 1 1 5 14 2383
5 22 4 2 2 4 4 3 14 2383
5 23 4 3 3 2 2 5 13 2383
5 25 4 4 2 3 2 3 14 2383
5 26 4 2 2 3 3 3 14 2383
6 3 5 5 5 2 4 3 14 1531
6 4 5 5 3 3 3 3 12 1531
6 6 5 5 4 4 4 4 14 1531
6 10 3 3 2 3 3 3 13 1531
6 14 5 5 5 5 3 2 13 1531
6 15 5 4 1 4 4 4 14 1531
6 16 3 3 3 4 3 3 13 1531
6 17 4 4 4 3 3 3 11 1531
6 20 4 2 1 4 3 3 11 1531
6 21 5 5 4 4 2 2 14 1531
6 22 4 3 3 5 5 3 12 1531
6 25 4 5 3 2 2 3 12 1531
6 26 4 3 3 4 4 3 12 1531
6 27 4 5 4 3 1 3 14 1531
7 5 4 4 4 5 4 5 8 19
7 8 4 5 4 -999 3 3 3 19
7 11 4 3 5 1 1 2 5 19
7 19 5 3 2 3 3 4 2 19
8 3 4 3 3 4 4 3 1 39
8 4 4 2 2 -999 -999 5 1 39
8 7 4 3 3 -999 -999 4 2 39
8 8 4 3 2 2 2 3 1 39
8 9 4 2 1 4 4 3 1 39
8 10 5 4 4 4 2 3 9 39
8 12 5 2 -999 4 4 3 5 39
8 13 4 2 2 2 2 3 2 39
8 14 4 2 3 4 3 4 5 39
8 16 2 1 1 1 1 5 3 39
8 18 4 3 2 2 2 4 2 39
8 19 4 3 3 -999 -999 3 1 39
8 21 4 2 2 4 4 3 2 39
8 23 4 3 2 3 3 3 2 39
8 24 3 4 3 4 3 3 7 39
8 26 4 4 4 -999 -999 3 4 39
9 11 2 5 2 3 2 4 3 42
9 22 4 2 2 3 3 3 2 42
10 19 5 5 5 3 3 3 5 83
11 4 4 3 3 4 -999 3 5 48
11 7 4 1 3 2 2 5 2 48
11 14 3 3 2 2 2 5 3 48
11 23 3 3 3 3 3 4 3 48
11 24 5 3 2 4 4 -999 4 48
12 3 4 3 2 -999 -999 3 3 72
12 4 4 5 5 3 5 2 4 72
12 12 4 3 3 4 4 3 4 72
12 15 5 5 3 4 3 4 4 72
12 17 5 1 1 4 1 3 2 72
12 23 5 1 4 3 3 3 11 72
13 9 4 2 1 4 2 5 4 104
13 10 5 3 2 2 1 5 1 104
13 13 3 2 2 3 3 4 10 104
13 14 4 4 2 4 3 5 7 104
13 15 5 4 1 3 3 3 2 104
13 18 4 3 2 3 3 3 3 104
13 20 4 2 2 4 4 5 3 104
13 21 5 2 2 4 3 5 2 104
13 26 2 2 3 -999 -999 4 1 104
13 27 5 3 2 4 3 4 2 104
14 6 3 1 2 3 3 3 1 20
14 8 5 4 5 5 5 3 -999 20
14 9 4 4 5 4 4 3 9 20
14 10 4 3 3 3 3 4 3 20
14 16 2 2 1 4 -999 5 3 20
14 18 3 2 2 -999 -999 3 1 20
14 19 3 3 3 3 3 5 5 20
